Long-term, stochastic editing of regenerative anatomy via targeting endogenous bioelectric gradients. | Biophys. J. 112,
Tumors as organs: complex tissues that interface with the entire organism. | Dev. Cell 18,
Stress-mediated tuning of developmental robustness and plasticity in flies. | Biochim. Biophys. Acta 1849,
On the nature of causation in complex systems. | Transac. R. Soc. South Afr. 63,
Top-down causation: an integrating theme within and across the sciences? | Introduction. Interface Focus 2,
Gap junctional blockade stochastically induces different species-specific head anatomies in genetically wild-type girardia dorotocephala flatworms. | Int. J. Mol. Sci. 16,
Regenerative adaptation to electrochemical perturbation in planaria: a molecular analysis of physiological plasticity. | iScience 22,
The principle of parsimony and some applications in psychology. | J. Mind. Behav. 5,
Maintenance of normal structure in heteroploid salamander larvae, through compensation of changes in cell size by adjustment of cell number and cell shape. | J. Exp. Zool. 100,
The effects of changes in chromosome number on amphibian development. | Q. Rev. Biol. 20,
The Principle of Least Action in Quantum Mechanics. | Ph.D Thesis. Princeton, NJ: Princeton University.
Multiscale memory and bioelectric error correction in the cytoplasm–cytoskeleton-membrane system. | Wiley Interdiscip. Rev. Syst. Biol. Med. 10,
Morphological coordination: a common ancestral function unifying neural and non-neural signaling. | Physiology 35,
Conscious agent networks: formal analysis and application to cognition. | 10. Cogn. Syst. Res.
Coarse-graining as a downward causation mechanism. | Philos. Trans. A Math. Phys. Eng. Sci.
Development of ectopic livers by hepatocyte transplantation into swine lymph nodes. | Liver Transpl. 26,
Cellular intelligence: microphenomenology and the realities of being. Prog. Biophys. | Mol. Biol. 131,
Experimental therapies for repair of the central nervous system: stem cells and tissue engineering. | J. Tissue Eng. Regen. Med. 7,
Measurement invariance explains the universal law of generalization for psychological perception. | Proc. Natl. Acad. Sci. U.S.A. 115,
Evolutionary design of regulatory control. I. A robust control theory analysis of tradeoffs. | J. Theor. Biol. 463,
Evolutionary design of regulatory control. II. Robust error-correcting feedback increases genetic and phenotypic variability. | J. Theor. Biol. 468,
Life as we know it. | J. R. Soc. Interface
Dopamine, affordance and active inference. | PLoS Comput. Biol.
Computational psychiatry: the brain as a phantastic organ. | Lancet Psychiatry 1,
Free energy, value, and attractors. | Comput. Math. Methods Med.
Active inference and epistemic value. | Cogn. Neurosci. 6,
Knowing one’s place: a free-energy approach to pattern regulation. | J. R. Soc. Interface
The anatomy of choice: active inference and agency. | Front. Hum. Neurosci.
Cognitive dynamics: from attractors to active inference. | Proc. IEEE 102,
Serotonin signaling is a very early step in patterning of the left-right axis in chick and frog embryos. | Curr. Biol. 15,
Serotonin transporter function is an early step in left-right patterning in chick and frog embryos. | Dev. Neurosci. 27,
Target control of complex networks. | Nat. Commun.
Competitive and coordinative interactions between body parts produce adaptive developmental outcomes. | BioEssays
The Bisected Brain. | New York, NY: Appleton-Century-Crofts.
The least action and the metric of an organized system. | Open Syst. Inf. Dyn. 9,
The theory of facilitated variation. | Proc. Natl. Acad. Sci. U.S.A. 104, (Suppl. 1),
Reconsidering the evidence for learning in single cells. | Elife
Learning and memory during general anesthesia: an update. | Anesthesiology 87,
Evolutionary transitions in learning and cognition. | Philos. Trans. R. Soc. Lond. B Biol. Sci.
The chemistry of cyborgs–interfacing technical devices with organisms. | Angew. Chem. Int. Ed. Engl. 52,
Darwinian Populations and Natural Selection. | Oxford: Oxford University Press,
Learning theories reveal loss of pancreatic electrical connectivity in diabetes as an adaptive response. | PLoS One
Information-seeking, curiosity, and attention: computational and neural mechanisms. | Trends Cogn. Sci. 17,
Learning to move machines with the mind. | Trends Neurosci. 34,
Plant anesthesia supports similarities between animals and plants: claude Bernard’s forgotten studies. | Plant Signal. Behav.
“Communication, memory, and development,” | in Progress in Theoretical Biology, Vol. 5, eds R. Rosen and F. Snell (New York, NY: Academic Press).
Caching decisions by grey squirrels: a test of the handling time and perishability hypotheses. | Anim. Behav. 52,
Vitalism, the soul, and sensibility: the physiology of Theophile Bordeu. | J. Hist. Med. Allied Sci. 31,
A complexity basis for phenomenology: how information states at criticality offer a new approach to understanding experience of self, being and time. | Prog. Biophys. Mol. Biol. 119,
Thought. | New Jersey, NJ: Princeton.
Bioelectric signaling as a unique regulator of development and regeneration. | Development
Selection within organisms in the nineteenth century: Wilhelm Roux’s complex legacy. | Prog. Biophys. Mol. Biol. 110,
Alteration of bioelectrically-controlled processes in the embryo: a teratogenic mechanism for anticonvulsants. | Reprod. Toxicol. 47,
Memory functions reveal structural properties of gene regulatory networks. | PLoS Comput. Biol.
Quantifying causal emergence shows that macro can beat micro. | Proc. Natl. Acad. U.S.A. 110,
Can the macro beat the micro? Integrated information across spatiotemporal scales. | Neurosci. Conscious.
“The interface theory of perception,” | in Stevens’ Handbook of Experimental Psychology and Cognitive Neuroscience, ed. J. T. Wixted (Hoboken, NJ: Wiley).
The interface theory of perception. | Psychon. Bull. Rev. 22,
The Baldwin effect: a neglected influence on C. G. Jung’s evolutionary thinking. | J. Anal. Psychol. 46,
Neural networks and physical systems with emergent collective computational abilities. | Proc. Natl. Acad. Sci. U.S.A. 79,
Viral dependence on cellular ion channels - an emerging anti-viral target? | J. Gen. Virol. 98,
Glutamate signaling at cytoneme synapses. | Science 363,
From so simple a beginning: the evolution of behavioral manipulation by fungi. | Adv Genet 94,
Species-independent attraction to biofilms through electrical signaling. | Cell 168,
Ethical issues related to brain organoid research. | Brain Res.
A simple Hopfield-like cellular network model of plant intelligence. | Prog. Brain Res. 168,
Principles of Psychology. | New York, NY: Henry Holt and Co.
An option space for early neural evolution. | Philos. Trans. R. Soc. Lond. B Biol. Sci.
Behavior of the Lower Organisms. | New York, NY: The Columbia university press,
Natural selection for least action. | Proc. R. Soc A 464,
Transcriptomics of two evolutionary novelties: how to make a sperm-transfer organ out of an anal fin and a sexually selected “sword” out of a caudal fin. | Ecol. Evol. 5,
Information socialtaxis and efficient collective behavior emerging in groups of information-seeking agents. | Proc. Natl. Acad. Sci. U.S.A. 114,
Moving and sensing without input and output: early nervous systems and the origins of the animal sensorimotor organization. | Biol. Philos. 30,
What nervous systems do: early evolution, input-output, and the skin brain thesis. | Adapt Behav. 21,
Escape from oblivion: neural mechanisms of emergence from general Anesthesia. | Anesth. Analg. 128,
The bacterium as a model neuron. | Trends Neurosci. 6,
How evolution learns to generalise: using the principles of learning theory to understand the evolution of developmental organisation. | PLoS Comput. Biol.
The Information Theory of Individuality. | arXiv [Preprint]. Available online at: https://arxiv.org/abs/1412.2447 (accessed February 2,
Electrical spiking in Escherichia coli probed with a fluorescent voltage-indicating protein. | Science 333,
A scalable pipeline for designing reconfigurable organisms. | Proc. Natl. Acad. Sci. U.S.A. 117,
“Scalable sim-to-real transfer of soft robot designs,” | in Proceedings of the 2020 3rd IEEE International Conference on Soft Robotics (Robosoft), (New Haven, CT),
Hierarchical Associative Memory. | Available online at: https://ui.adsabs.harvard.edu/abs/2021arXiv210706446K (accessed July 01,
Integrating variational approaches to pattern formation into a deeper physics: reply to comments on “Morphogenesis as Bayesian inference: a variational approach to pattern formation and manipulation in complex biological systems”. | Phys. Life Rev. 33,
Morphogenesis as Bayesian inference: a variational approach to pattern formation and control in complex biological systems. | Phys. Life Rev. 33,
Information processing in bacteria: memory, computation, and statistical physics: a key issues review. | Rep. Prog. Phys.
Artificial Life: An Overview. | Cambridge, MA: MIT Press.
Signal percolation within a bacterial community. | Cell Syst 7,
Bioelectric memory: modeling resting potential bistability in amphibian embryos and mammalian cells. | Theor. Biol. Med. Model
Downregulation of gap junctions in cancer cells. | Crit. Rev. Oncog. 12,
The wisdom of the body: future techniques and approaches to morphogenetic fields in regenerative medicine, developmental biology and cancer. | Regen. Med. 6,
The computational boundary of a “Self”: developmental bioelectricity drives multicellularity and scale-free cognition. | Front. Psychol.
Life, death, and self: fundamental questions of primitive cognition viewed through the lens of body plasticity and synthetic organisms. | Biochem. Biophys. Res. Commun. 564,
Bioelectric signaling: reprogrammable circuits underlying embryogenesis, regeneration, and cancer. | Cell 184,
Bioelectrical approaches to cancer as a problem of the scaling of the cellular self. | Prog. Biophys. Mol. Biol. 165,
TAME: technological approach to mind everywhere. | PsyArXiv [Preprint]
Cognition All the Way Down. | Melbourne: Aeon.
The bioelectric code: an ancient computational medium for dynamic control of growth and form. | Biosystems 164,
Applications and ethics of computer-designed organisms. | Nat. Rev. Mol. Cell Biol. 21,
Of minds and embryos: left-right asymmetry and the serotonergic controls of pre-neural morphogenesis. | Dev. Neurosci. 28,
Uncovering cognitive similarities and differences, conservation and innovation. | Philos. Trans. R. Soc. Lond. B Biol. Sci.
Endogenous bioelectric signaling networks: exploiting voltage gradients for control of growth and form. | Annu. Rev. Biomed. Eng. 19,
An on-demand plant-based actuator created using conformable electrodes. | Nat. Electron. 4,
Convergence of ion channel genome content in early animal evolution. | Proc. Natl. Acad. Sci. U.S.A. 112,
Coupling between distant biofilms and emergence of nutrient time-sharing. | Science 356,
Controllability of complex networks. | Nature 473,
A linear-encoding model explains the variability of the target morphology in regeneration. | J. R. Soc.
“Developmental encodings promote the emergence of hierarchical modularity,” | in Proceedings of the Artificial Life Conference 2016, (Cancun: MIT Press).
The biogenic approach to cognition. | Cogn. Process. 7,
Valuing what happens: a biogenic approach to valence and (potentially) affect. | Philos. Trans. R. Soc. Lond. B Biol. Sci.
Reframing cognition: getting down to biological basics. | Philos. Trans. R. Soc. Lond. B Biol. Sci.
Homeostasis and soft robotics in the design of feeling machines. | Nat. Mach. Intell. 1,
‘Psychoanalysis’ of a Minimal Agent. | Artificial Life XI; Winchester, UK.
The cognitive lens: a primer on conceptual tools for analysing information processing in developmental and regenerative morphogenesis. | Philos. Trans. R. Soc. Lond. B Biol. Sci.
Modeling somatic computation with non-neural bioelectric networks. | Sci. Re.p
Detecting agency from the biological motion of veridical vs animated agents. | Soc. Cogn. Affect. Neurosci. 2,
Vision : A Computational Investigation into the Human Representation and Processing of Visual Information. | San Francisco, CA: W.H. Freeman,
Metabolic basis of brain-like electrical signalling in bacterial communities. | Philos. Trans. R. Soc. Lond. B Biol. Sci.
Bistable emergence of oscillations in growing Bacillus subtilis biofilms. | Proc. Natl. Acad. Sci. U.S.A. 115,
A theory of human motivation. | Psychol. Rev. 50,
Autopoiesis and Cognition : The Realization of the Living. | Dordrecht: D. Reidel Pub. Co,
Shaping Life : Genes, Embryos, and Evolution. | New Haven, CT: Yale University Press,
The Major Transitions in Evolution. | New York, NY: W.H. Freeman Spektrum,
The idea of teleology. | J. Hist. Ideas 53,
“Memory transfer experiments in invertebrates,” | in Molecular Mechanisms in Memory and Learning, ed. G. Ungar (New York, NY: Plenum Press),
The effects of regeneration upon retention of a conditioned response in the planarian. | J. Comp. Physiol. Psychol. 52,
Evolutionary game theory: lessons and limitations, a cancer perspective. | Br. J. Cancer 101, 2060–1;author reply
Stress, adaptation, and disease. allostasis and allostatic load. | Ann. N.Y. Acad. Sci. 840,
Bioelectric signaling in regeneration: mechanisms of ionic controls of growth and form. | Dev. Biol. 433,
Bioelectrical domain walls in homogeneous tissues. | Nat. Phys. 16,
Bioelectrical signaling via domain wall migration. | bioRxiv [Preprint]
Optically controlled oscillators in an engineered bioelectric tissue. | Phys. Rev. X
Upper-directed systems: a new approach to teleology in biology. | Biol. Philos. 27,
Machine wanting. | Stud. Hist. Philos. Biol. Biomed. Sci. 44(4 Pt. B),
Freedom and purpose in biology. | Stud. Hist. Philos. Biol. Biomed. Sci. 58,
Blending electronics with the human body: a pathway toward a cybernetic future. | Adv. Sci.
Modularity: genes, development and evolution. | Annu. Rev. Ecol. Evol. Syst. 47,
Living media interfaces: a multi-perspective analysis of biological materials for interaction. | Digit Creat. 31,
On the reorganization of fitness during evolutionary transitions in individuality. | Integr. Comp. Biol. 43,
Minds without spines: evolutionarily inclusive animal ethics. | Anim. Sentience
The psychophysiological investigation of multiple personality disorder: review and update. | Am. J. Clin. Hypn. 35,
Consciousness and Personhood in Split-Brain Patients: Dissertation. | Oklahoma: The University of Oklahoma,
Evolution of voltage-gated ion channels at the emergence of Metazoa. | J. Exp. Biol. 218(Pt. 4),
“Other minds than ours,” | in An Introduction to Comparative Psychology, ed. W. Scott (London: Walter Scott Publishing),
The control of heteromorphosis in Planaria maculata. | Arch. Für Entw. Mech. 17,
Few inputs can reprogram biological networks. | Nature 478, E4;discussion
Teleology Revisited and Other Essays in the Philosophy and History of Science. | New York, NY: Columbia University Press,
Brain bisection and the unity of consciousness. | Synthese 22,
What is it like to be a bat? | Philos. Rev. 83,
Anticipation: beyond synthetic biology and cognitive robotics. | Biosystems 148,
Collective irrationality and positive feedback. | PLoS One
Biophysics and systems biology. | Philos. Trans. A Math. Phys. Eng. Sci. 368,
The aims of systems biology: between molecules and organisms. | Pharmacopsychiatry 44, (Suppl. 1),
A theory of biological relativity: no privileged level of causation. | Interface Focus 2,
Characterization of innexin gene expression and functional roles of gap-junctional communication in planarian regeneration. | Dev. Biol. 287,
Memory and modularity in cell-fate decision making. | Nature 503,
“Action on stage: historical introduction,” | in Proceedings of the GIREP Conference, Modeling in Physics and Physics Education, (Amsterdam: AMSTEL Institute).
New era for cyborg science is emerging: the promise of cyborganic beings. | Adv. Healthc. Mater.
When complex neuronal structures may not matter. | Elife
What is intrinsic motivation? A typology of computational approaches. | Front. Neurorobot.
How Can We Define Intrinsic Motivation. | Available online at: http://www.pyoudeyer.com/epirob08OudeyerKaplan.pdf
Long-range neural and gap junction protein-mediated cues control polarity during planarian regeneration. | Dev. Biol. 339,
The ecology of cancer from an evolutionary game theory perspective. | Interface Focus
Transmembrane voltage potential controls embryonic eye patterning in Xenopus laevis. | Development 139,
HCN2 channel-induced rescue of brain teratogenesis via local and long-range bioelectric repair. | Front. Cell Neurosci.
HCN2 rescues brain defects by enforcing endogenous voltage pre-patterns. | Nat. Commun.
HCN4 ion channel function is required for early events that regulate anatomical left-right patterning in a nodal and lefty asymmetric gene expression-independent manner. | Biol. Open 6,
Uncertainty and stress: why it causes diseases and how it is mastered by the brain. | Prog. Neurobiol. 156,
Re-membering the body: applications of computational neuroscience to the top-down control of regeneration of limbs and other complex organs. | Integr. Biol. 7,
Top-down models in biology: explanation and control of complex living systems above the molecular level. | J. R. Soc. Interface
Bistability of somatic pattern memories: stochastic outcomes in bioelectric circuits underlying regeneration. | Philos. Proc. R. Soc. B
Bioelectric gene and reaction networks: computational modelling of genetic, biochemical and bioelectrical dynamics in pattern regulation. | J. R. Soc. Interface
Bioelectrical control of positional information in development and regeneration: a review of conceptual and computational advances. | Prog. Biophys. Mol. Biol. 137,
Brain transplantation in salamanders - an approach to memory transfer. | Brain Res. 14,
Adaptive correction of craniofacial defects in pre-metamorphic Xenopus laevis tadpoles involves thyroid hormone-independent tissue remodeling. | Development
The rise of the biocyborg: synthetic biology, artificial chimerism and human enhancement. | N. Genet. Soc. 40,
Coordinating heart morphogenesis: a novel role for Hyperpolarization-activated cyclic nucleotide-gated (HCN) channels during cardiogenesis in Xenopus laevis. | Commun. Integr. Biol.
“Adaptation, natural selection, and behavior,” | in Behavior and Evolution, eds A. Roe and G. G. Simpson (New Haven, CT: Yale University Press),
Controllability of multiplex, multi-time-scale networks. | Phys. Rev. E
“Closing the loop: stimulation feedback systems for embodied MEA cultures,” | in Advances in Network Electrophysiology Using Multi-Electrode Arrays, eds M. Taketani and M. Baudry (New York, NY: Springer).
“Long-term bidirectional neuron interfaces for robotic control, and in vitro learning studies,” | in Annual International Conference of the IEEE Engineering in Medicine and Biology Society, Vol. 25, (Piscataway, NJ: IEEE),
What can ecosystems learn?  Expanding evolutionary ecology with learning theory. | Biol. Direct.
Fact, fiction, and fitness. | Entropy
Consciousness and topologically structured phenomenal spaces. | Conscious. Cogn. 70,
Ion channels enable electrical communication in bacterial communities. | Nature 527,
Similar network activity from disparate circuit parameters. | Nat. Neurosci. 7,
Cross-modal plasticity revealed by electrotactile stimulation of the tongue in the congenitally blind. | Brain 128(Pt. 3),
Pigeons and humans use action and pose information to categorize complex human behaviors. | Vision Res. 131,
Beyond society: the evolution of organismality. | Philos Trans R Soc Lond B Biol Sci 364,
Transient cognitive dynamics, metastability, and decision making. | PLoS Comput. Biol.
Prospective cognition in animals. | Behav. Process. 80,
Reiterated Wnt and BMP signals in neural crest development. | Semin. Cell Dev. Biol. 16,
Variational ecology and the physics of sentient systems. | Phys. Life Rev. 31,
Survival of olfactory memory through metamorphosis in the fly Musca domestica. | Neurosci. Lett. 259,
Cognition in some surprising places. | Biochem. Biophys. Res. Commun. 564,
Connecting brains to robots: an artificial body for studying the computational properties of neural tissues. | Artif. Life 6,
Amoeboid organism uses extracellular secretions to make smart foraging decisions. | Behav. Ecol. 24,
Slime mold uses an externalized spatial “memory” to navigate in complex environments. | Proce. Natl. Acad. Sci. U.S.A. 109,
Neurodevelopmental origins of abnormal cortical morphology in dissociative identity disorder. | Acta Psychiatr. Scand. 137,
Aiding the diagnosis of dissociative identity disorder: pattern recognition study of brain biomarkers. | Br. J. Psychiatry 215,
Biohybrid actuators for robotics: A review of devices actuated by living cells. | Sci Robot.
Epigenetics and the evolution of instincts. | Science 356,
“Electric embryos: the embryonic epithelium as a generator of developmental information,” | in Nerve Growth and Guidance, ed. C. D. McCaig (London: Portland Press),
A low-cost multielectrode system for data acquisition enabling real-time closed-loop processing with rapid recovery from stimulation artifacts. | Front. Neuroeng.
“NeuroRighter: closed-loop multielectrode stimulation and recording for freely moving animals and cell cultures,” | in Proceedings of the Annual International Conference of the IEEE Engineering in Medicine and Biology Society IEEE Engineering in Medicine and Biology Society Conference, Vol. 2009, (Minneapolis, MN),
Dynamical realization of (M,R)-Systems. | Bull. Math. Biol. 35,
Anticipatory systems in retrospect and prospect. | Gen. Syst. 24,
Anticipatory Systems : Philosophical, Mathematical, and Methodological Foundations, | 1st Edn. New York, NY: Pergamon Press,
Behavior, purpose, and teleology. | Philos. Sci. 10,
Stem cells for cell replacement therapy: a therapeutic strategy for HD? | Mov. Disord. 29,
Heteronom-orthotopische transplantationen von extremitätenanlagen bei axolotlembryonen. | Wilhelm. Roux Arch. Entwickl. Mech. Org. 118,
Geometrical Frustration. | Cambridge, MA: Cambridge University Press.
Explosive sensing with insect-based biorobots. | Biosens. Bioelectronics: X
Delirium and postoperative cognitive dysfunction after general anesthesia. | Med. Sci. Monit. 15,
The Way of the Bodhisattva : a Translation of the Bodhicharyāvatāra, | 2nd Edn. Boston, MA: Shambhala, 222. Distributed in the United States by Random House.
Cumulative culture can emerge from collective intelligence in animal groups. | Nat. Commun.
Self-re-production and functionality - A systems-theoretical approach to teleological explanation. | Synthese 116,
Modularity in Development and Evolution. | Chicago, IL: University of Chicago Press,
Exploratory adaptation in large random networks. | Nat. Commun.
Allostasis: a brain-centered, predictive mode of physiological regulation. | Trends Neurosci. 42,
If materialism is true, the United States is probably conscious. | Philos. Stud. 172,
AFB1 controls rapid auxin signalling through membrane depolarization in Arabidopsis thaliana root. | Nat. Plants 7,
